category,id,label,selector
Person,okdtsn0j1bfslsc,Cornelius Botha,Cornelius Botha
Person,k99b0hkrjzgpp8n,SHIPOKOSA PAULUS MASHATILE,SHIPOKOSA PAULUS MASHATILE
Person,fdcdgtewrp5xpir,DUDU HELLEN MATHEBE,DUDU HELLEN MATHEBE
Person,igv35jpmmdxkh2d,CATHRINE MATSIMBI,CATHRINE MATSIMBI
Person,o9fba4qcu4q1az6,Barbara Dallas Creecy,Barbara Dallas Creecy
Person,b3lzqjbykd8qbp9,Crosby Mpoxo Moni,Crosby Mpoxo Moni
Person,nhq4jrwdixgye02,NKOSIYAKHE AMOS MASONDO,NKOSIYAKHE AMOS MASONDO
Person,scwtbbr01skvbkf,Dacre Berrangé Haddon,Dacre Berrangé Haddon
Person,e2yhnze2xavcxyr,Daisy Tinyiko Baloyi,Daisy Tinyiko Baloyi
Person,c4fsgifckrpch2j,Damon Ronny Waterson,Damon Ronny Waterson
Person,o0shr7178m9by5q,ZAKHELE NJABULO MBHELE,ZAKHELE NJABULO MBHELE
Person,c17te91e77djbvw,NOMAKHAYA MAVIS MDAKA,NOMAKHAYA MAVIS MDAKA
Person,gqwqek49kc11wyq,KENNETH RASELABE JOSEPH MESHOE,KENNETH RASELABE JOSEPH MESHOE
Person,ba21f9y7symy42p,TSEPO WINSTON MHLONGO,TSEPO WINSTON MHLONGO
Person,hcaekdtinixqar0,KEVIN JOHN MILEHAM,KEVIN JOHN MILEHAM
Person,fbnu4iyawibpap6,Fikile April Mbalula,FIKILE APRIL MBALULA
Person,j7u248lssiq76r4,SIBONGILE MCHUNU,SIBONGILE MCHUNU
Person,kcrzxzczo6ifm6t,Hlengiwe Buhle Mkhize,Hlengiwe Buhle Mkhize
Person,gvfrgw7w7ep304n,Cornelius Paseka Bokaba,Cornelius Paseka Bokaba
Person,fasb0ufko4ujfa8,Craig Harrison,Craig Harrison
Person,kd79eqxb1b0mhd1,NOMAINDIYA CATHLEEN MFEKETHO,NOMAINDIYA CATHLEEN MFEKETHO
Company,hdp8n6biqzb57gr,METROFILE HOLDINGS,METROFILE HOLDINGS LIMITED
Person,f6ykk80k5vkzh4d,Catharina Magdalena Cronje,Catharina Magdalena Cronje
Person,fbciyudjrzgpnhe,Cukelwa Magdeline Chotelo,Cukelwa Magdeline Chotelo
Person,dg5tutmr79orrtd,BONGANI MICHAEL MKONGI,BONGANI MICHAEL MKONGI
Person,nm6r7j5mjmkxjrj,HUMPHREY MDUMZELI ZONDELELE MMEMEZI,HUMPHREY MDUMZELI ZONDELELE MMEMEZI
Person,dw96rn5fk7zr0p4,Martha Phindile Mmola,Martha Phindile Mmola
Person,k7k8s0yst8s3zfn,SAMUEL GAAESI MMUSI,SAMUEL GAAESI MMUSI
Person,li5li812hx14gjo,SIBUSISO CHRISTOPHER MNCWABE,SIBUSISO CHRISTOPHER MNCWABE
Person,ncypmnzjgv5ooj7,MANGAQA ALBERT MNCWANGO,MANGAQA ALBERT MNCWANGO
Person,f573sbf1dmjs4u0,DERICK MNGUNI,DERICK MNGUNI
Person,nos6u5rdt5e0pwz,PUMZILE JUSTICE MNGUNI,PUMZILE JUSTICE MNGUNI
Person,m8zr00x7uorpj3k,JOHN ANDILE MNGXITAMA,JOHN ANDILE MNGXITAMA
Person,h8bbo1e3g5vajf3,NOKHAYA ADELAIDE MNISI,NOKHAYA ADELAIDE MNISI
Person,e0ho4gq0oawb6rl,NTHIBANE REBECCA MOKOTO,NTHIBANE REBECCA MOKOTO
Person,db51rdch4yqmkvo,MAAPI ANGELINA MOLEBATSI,MAAPI ANGELINA MOLEBATSI
Person,ilzf2l7jxy1r8ux,ALFRED MKHIPHENI MPONTSHANE,ALFRED MKHIPHENI MPONTSHANE
Person,kp4db2utnfpr5uc,THILIVHALI ELPHUS MULAUDZI,THILIVHALI ELPHUS MULAUDZI
Person,ebykhvequdf7b47,VELHELMINA PULANI MOGOTSI,VELHELMINA PULANI MOGOTSI
Person,mpcphmudn4vszwy,EMMANUEL NKOSINATHI MTHETHWA,EMMANUEL NKOSINATHI MTHETHWA
Person,ee4ktihazji53ni,ENOCK MUZI MTHETHWA,ENOCK MUZI MTHETHWA
Person,fs3unwbk53ks72y,STELLA TEMBISA NDABENI-ABRAHAMS,STELLA TEMBISA NDABENI-ABRAHAMS
Person,etqbo4os7xoywfv,BONISILE ALFRED NESI,BONISILE ALFRED NESI
Person,k0fzlq321d9725c,MOHAMED ENVER SURTY,MOHAMED ENVER SURTY
Person,knkc7v6ct7r0rq0,Sello Albert Tleane,SELLO ALBERT TLEANE
Person,n1kg0jkg6keio0i,JOYCE CLEMENTINE MOLOI-MOROPA,JOYCE CLEMENTINE MOLOI-MOROPA
Person,jgrbctdrn72wtqj,ITUMELENG MOSALA,ITUMELENG MOSALA
Person,fz1z43gug6eqa10,MBUYISENI QUINTIN NDLOZI,MBUYISENI QUINTIN NDLOZI
Person,byp8x6ij02v7n8d,ELIZABETH DIPUO PETERS,ELIZABETH DIPUO PETERS
Person,li1gus4qkteudra,Mandla Makupula,Mandla Makupula
Person,gxh9myyk9adrpze,Mamagase Elleck Nchabeleng,MAMAGASE ELLECK NCHABELENG
Person,np6q4waatoxo3pm,MAGDALENE MOONSAMY,MAGDALENE MOONSAMY
